base_name,fuel,capacity_mw,planned_year
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,450,2019
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,470,2020
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,790,2021
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,1200,2022
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,1000,2023
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,1200,2024
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,1800,2025
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,2160,2026
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,2910,2027
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,3240,2028
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,3350,2029
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,3530,2030
Nghi Sơn II #1,NĐ,600,2021
Nghi Sơn II #2,NĐ,600,2022
Nhạn Hạc,TĐ,59,2016
Nho Quế 1,TĐ,32,2016
Nho Quế 2,TĐ,48,2016
Ninh Thuận I #1,Điện hạt nhân,1200,2028
Ninh Thuận I #2,Điện hạt nhân,1200,2029
Ninh Thuận II #1,Điện hạt nhân,1100,2029
Ninh Thuận II #2,Điện hạt nhân,1100,2030
Ô Môn II,TBKHH,750,2026
Ô Môn III,TBKHH,750,2020
Ô Môn IV,TBKHH,750,2021
Pắc Ma,TĐ,140,2019
Phú Thọ,TĐ,105,2023
Quảng Ninh III #1,NĐ,600,2029
Quảng Ninh III #2,NĐ,600,2030
Quảng Trạch I #1,NĐ,600,2021
Quảng Trạch I #2,NĐ,600,2022
Quảng Trạch II #1,NĐ,600,2028
Quảng Trạch II #2,NĐ,600,2029
Quảng Trị #1,NĐ,600,2023
Quảng Trị #2,NĐ,600,2024
Quỳnh Lập I #1,NĐ,600,2022
Quỳnh Lập I #2,NĐ,600,2023
Quỳnh Lập II #1,NĐ,600,2026
Quỳnh Lập II #2,NĐ,600,2027
Rạng Đông,NĐ,100,2025
Sêkaman 1 (Lào),TĐ,290,2016
Sêkaman 4 (Lào),TĐ,80,2018
Sêkaman Xanxay (Lào),TĐ,32,2017
Sóc Trăng,Điện gió,99,2019
Sơn Mỹ I #1,TBKHH,750,2026
Sơn Mỹ I #2,TBKHH,750,2027
Sơn Mỹ I #3,TBKHH,750,2028
Sơn Mỹ II #1,TBKHH,750,2023
Sơn Mỹ II #2,TBKHH,750,2024
Sơn Mỹ II #3,TBKHH,750,2025
Sông Bung 2,TĐ,100,2016
"Sông Hậu I #1,2",NĐ,2x600,2019
Sông Hậu II #1,NĐ,1000,2021
Sông Hậu II #2,NĐ,1000,2022
Sông Lô 6,TĐ,44,2018
Sông Miện 4,TĐ,38,2018
Sông Tranh 3,TĐ,62,2016
Sông Tranh 4,TĐ,48,2016
Tân Phước I #1,NĐ,600,2027
Tân Phước I #2,NĐ,600,2028
Tân Phước II #1 (*),NĐ,600,2028
Tân Phước II #2 (*),NĐ,600,2029
Thác Mơ mở rộng,TĐ,75,2017
"Thái Bình I #1,2",NĐ,2x300,2017
Thái Bình II #1,NĐ,600,2017
Thái Bình II #2,NĐ,600,2018
Thăng Long #1,NĐ,300,2018
Thăng Long #2,NĐ,300,2019
Thiên Tân 1,Điện mặt trời,300,2019
Thiên Tân 2,Điện mặt trời,400,2020
Thiên Tân 3,Điện mặt trời,300,2021
"Thượng KonTum #1,2",TĐ,2x110,2019
Trà Khúc 1,TĐ,36,2017
Trị An mở rộng,TĐ,200,2025
Trung - Nam,Điện gió,90,2019
"Trung Sơn #1,2",TĐ,2x65,2016
"Trung Sơn #3,4",TĐ,2x65,2017
Uông Bí ngừng phát điên,NĐ,105,2021
Vân Phong I #1,NĐ,660,2022
Vân Phong I #2,NĐ,660,2023
Vê Đan,NĐ than,60,2016
"Vĩnh Tân I #1,2",NĐ,2x600,2019
Vĩnh Tân III #1,NĐ,660,2022
"Vĩnh Tân III #2,3",NĐ,2x660,2023
"Vĩnh Tân IV #1,2",NĐ,2x600,2018
Vĩnh Tân IV mở rộng,NĐ,600,2019
Vũng Áng II #1,NĐ,600,2021
Vũng Áng II #2,NĐ,600,2022
Vũng Áng III #1,NĐ,600,2024
Vũng Áng III #2,NĐ,600,2025
Vũng Áng III #3 (*),NĐ,600,2029
Vũng Áng III #4 (*),NĐ,600,2030
Yên Sơn,TĐ,70,2017
